rank,feature,feature_type,raw_coefficient,raw_abs_rank,train_feature_std,standardized_effect,abs_standardized_effect
1,AMT_GOODS_PRICE,numeric_scaled,-0.95291215,1,0.9999493,-0.9528638,0.9528638
2,AMT_CREDIT,numeric_scaled,0.8529715,2,0.9999764,0.85295135,0.85295135
3,EXT_SOURCE_3,numeric_scaled,-0.39728278,11,1.00017,-0.3973503,0.3973503
4,BASEMENTAREA_MEDI,numeric_scaled,0.37987432,12,1.0007721,0.38016763,0.38016763
5,BASEMENTAREA_AVG,numeric_scaled,-0.3787003,13,1.0008425,-0.37901932,0.37901932
6,LIVINGAREA_AVG,numeric_scaled,0.3194459,16,1.0002757,0.319534,0.319534
7,LIVINGAPARTMENTS_MEDI,numeric_scaled,0.2851822,24,0.9989007,0.28486872,0.28486872
8,LIVINGAREA_MEDI,numeric_scaled,-0.27794868,27,1.0006121,-0.27811882,0.27811882
9,OBS_30_CNT_SOCIAL_CIRCLE,numeric_scaled,0.24935097,29,1.0000105,0.24935359,0.24935359
10,EXT_SOURCE_2,numeric_scaled,-0.24740916,30,0.9999917,-0.24740711,0.24740711
11,OBS_60_CNT_SOCIAL_CIRCLE,numeric_scaled,-0.2342616,31,1.0006487,-0.23441358,0.23441358
12,YEARS_BUILD_MEDI,numeric_scaled,-0.22575663,34,0.99999654,-0.22575586,0.22575586
13,YEARS_BUILD_AVG,numeric_scaled,0.22557452,35,0.9999618,0.22556591,0.22556591
14,COMMONAREA_MEDI,numeric_scaled,-0.21637686,38,1.0008644,-0.2165639,0.2165639
15,ENTRANCES_MEDI,numeric_scaled,0.18733042,44,0.99914783,0.18717079,0.18717079
16,LIVINGAPARTMENTS_AVG,numeric_scaled,-0.17956659,47,0.99910134,-0.17940523,0.17940523
17,NAME_INCOME_TYPE_Pensioner,categorical_dummy,-0.4585785,7,0.3831959,-0.1757254,0.1757254
18,FLAG_EMP_PHONE,numeric_scaled,-0.17140819,49,1.0002348,-0.17144844,0.17144844
19,APARTMENTS_MEDI,numeric_scaled,-0.16891906,51,0.99941033,-0.16881946,0.16881946
20,ENTRANCES_AVG,numeric_scaled,-0.1520092,54,0.9989922,-0.151856,0.151856
21,COMMONAREA_AVG,numeric_scaled,0.14628221,56,1.0003583,0.14633463,0.14633463
22,FLAG_DOCUMENT_3,numeric_scaled,0.14454411,57,0.9995436,0.14447814,0.14447814
23,REGION_RATING_CLIENT_W_CITY,numeric_scaled,0.14161325,59,0.9999922,0.14161214,0.14161214
24,AMT_INCOME_TOTAL,numeric_scaled,0.14145324,60,0.99993813,0.14144449,0.14144449
25,NONLIVINGAPARTMENTS_MODE,numeric_scaled,0.14060347,61,1.0013181,0.1407888,0.1407888
26,EXT_SOURCE_1,numeric_scaled,-0.13939303,63,0.9999579,-0.13938716,0.13938716
27,APARTMENTS_AVG,numeric_scaled,0.13591363,65,0.99953985,0.13585109,0.13585109
28,ELEVATORS_MODE,numeric_scaled,0.12429134,67,0.99936056,0.12421186,0.12421186
29,EXT_SOURCE_MEAN,numeric_scaled,-0.1137476,72,0.9999781,-0.11374511,0.11374511
30,ANNUITY_INCOME_RATIO,numeric_scaled,0.1030094,78,0.9999745,0.10300677,0.10300677
31,ELEVATORS_AVG,numeric_scaled,-0.097061224,82,1.000645,-0.09712383,0.09712383
32,LIVINGAPARTMENTS_MODE,numeric_scaled,-0.09676738,83,1.0006213,-0.09682751,0.09682751
33,CODE_GENDER_F,categorical_dummy,-0.1970261,40,0.47462568,-0.093513645,0.093513645
34,FLAG_OWN_CAR_Y,categorical_dummy,-0.18582109,46,0.47424066,-0.08812392,0.08812392
35,NAME_EDUCATION_TYPE_Secondary / secondary special,categorical_dummy,0.19293544,41,0.45296118,0.08739226,0.08739226
36,DAYS_EMPLOYED,numeric_scaled,0.083346255,90,0.99983376,0.0833324,0.0833324
37,FLOORSMAX_AVG,numeric_scaled,-0.083066106,91,0.9998854,-0.083056584,0.083056584
38,FLAG_DOCUMENT_4,numeric_scaled,-0.08205587,93,0.9999567,-0.08205231,0.08205231
39,NONLIVINGAPARTMENTS_MEDI,numeric_scaled,-0.079964496,96,1.0011653,-0.08005767,0.08005767
40,AMT_ANNUITY,numeric_scaled,0.07638156,100,0.9999538,0.076378025,0.076378025
41,FLAG_DOCUMENT_6,numeric_scaled,0.07638615,99,0.9993636,0.07633754,0.07633754
42,EXT_SOURCE_MIN,numeric_scaled,-0.075815,102,0.99997586,-0.07581317,0.07581317
43,COMMONAREA_MODE,numeric_scaled,0.07543536,104,1.0007335,0.07549069,0.07549069
44,LANDAREA_AVG,numeric_scaled,0.06814319,110,0.9996567,0.068119794,0.068119794
45,FLOORSMAX_MEDI,numeric_scaled,0.068086945,111,1.00042,0.06811554,0.06811554
46,ENTRANCES_MODE,numeric_scaled,-0.06773869,112,0.9992972,-0.06769108,0.06769108
47,EXT_NOT_NA_COUNT,numeric_scaled,-0.0655657,114,0.99978775,-0.06555178,0.06555178
48,FLAG_WORK_PHONE,numeric_scaled,0.06543766,115,1.0005269,0.06547214,0.06547214
49,NONLIVINGAREA_MODE,numeric_scaled,-0.062154558,119,1.0003175,-0.06217429,0.06217429
50,REG_CITY_NOT_LIVE_CITY,numeric_scaled,0.0611414,121,0.9989949,0.06107995,0.06107995
51,REGION_RATING_CLIENT,numeric_scaled,-0.05810611,127,1.0007573,-0.058150116,0.058150116
52,NAME_FAMILY_STATUS_Married,categorical_dummy,-0.12024529,70,0.4797512,-0.057687823,0.057687823
53,EXT_SOURCE_1_NA,numeric_scaled,0.057287157,131,1.0012228,0.05735721,0.05735721
54,DAYS_ID_PUBLISH,numeric_scaled,0.056566637,132,0.9999885,0.056565985,0.056565985
55,FLAG_DOCUMENT_16,numeric_scaled,-0.052906916,136,1.0009745,-0.052958474,0.052958474
56,DAYS_EMPLOYED_PERCENT,numeric_scaled,-0.05182,138,0.9997476,-0.05180692,0.05180692
57,FLAG_DOCUMENT_13,numeric_scaled,-0.05145729,139,0.99877536,-0.051394273,0.051394273
58,CODE_GENDER_M,categorical_dummy,0.10517983,77,0.47462374,0.049920846,0.049920846
59,ORGANIZATION_TYPE_Self-employed,categorical_dummy,0.15055254,55,0.3301293,0.049701806,0.049701806
60,FLAG_DOCUMENT_18,numeric_scaled,-0.04782983,142,1.0016147,-0.04790706,0.04790706
61,ELEVATORS_MEDI,numeric_scaled,-0.047244404,145,1.0011523,-0.04729884,0.04729884
62,NONLIVINGAPARTMENTS_AVG,numeric_scaled,-0.046838306,146,1.0010327,-0.046886675,0.046886675
63,LIVE_REGION_NOT_WORK_REGION,numeric_scaled,-0.046639092,148,1.0003479,-0.046655316,0.046655316
64,LANDAREA_MEDI,numeric_scaled,-0.04582592,150,0.99961567,-0.045808308,0.045808308
65,REG_REGION_NOT_WORK_REGION,numeric_scaled,0.043954838,152,0.99856585,0.0438918,0.0438918
66,ORGANIZATION_TYPE_Construction,categorical_dummy,0.29106972,23,0.14652762,0.042649753,0.042649753
67,DEF_60_CNT_SOCIAL_CIRCLE,numeric_scaled,0.042389244,155,1.0007685,0.04242182,0.04242182
68,OWN_CAR_AGE,numeric_scaled,0.042052034,156,0.9991388,0.042015817,0.042015817
69,ORGANIZATION_TYPE_Military,categorical_dummy,-0.44943368,8,0.09236665,-0.041512683,0.041512683
70,REG_CITY_NOT_WORK_CITY,numeric_scaled,-0.04137839,158,0.99901354,-0.041337572,0.041337572
71,REG_REGION_NOT_LIVE_REGION,numeric_scaled,-0.041328564,159,1.0001751,-0.041335803,0.041335803
72,NONLIVINGAREA_AVG,numeric_scaled,0.04110862,161,0.9992899,0.041079428,0.041079428
73,AMT_REQ_CREDIT_BUREAU_QRT,numeric_scaled,-0.03964172,165,0.99988955,-0.039637342,0.039637342
74,DEF_30_CNT_SOCIAL_CIRCLE,numeric_scaled,0.03823215,168,1.0014656,0.038288184,0.038288184
75,DAYS_LAST_PHONE_CHANGE,numeric_scaled,0.038113713,169,1.0001324,0.03811876,0.03811876
76,HOUSETYPE_MODE_Unknown,categorical_dummy,-0.07614617,101,0.49999785,-0.03807292,0.03807292
77,ORGANIZATION_TYPE_Business Entity Type 3,categorical_dummy,0.09167036,86,0.41526794,0.03806776,0.03806776
78,NAME_INCOME_TYPE_Working,categorical_dummy,0.07543807,103,0.4997634,0.037701186,0.037701186
79,FLAG_OWN_CAR_N,categorical_dummy,0.07843374,97,0.47424066,0.03719647,0.03719647
80,CREDIT_TERM,numeric_scaled,0.036649942,171,1.0001249,0.03665452,0.03665452
81,DAYS_REGISTRATION,numeric_scaled,0.03630715,172,0.99996704,0.036305953,0.036305953
82,FLAG_DOCUMENT_10,numeric_scaled,-0.035958014,174,0.99999195,-0.035957724,0.035957724
83,FLAG_DOCUMENT_5,numeric_scaled,0.034923136,176,1.0001448,0.034928195,0.034928195
84,EXT_SOURCE_3_NA,numeric_scaled,0.034829315,178,1.0009062,0.03486088,0.03486088
85,FLAG_DOCUMENT_8,numeric_scaled,0.034040045,180,1.0007632,0.034066025,0.034066025
86,OCCUPATION_TYPE_Accountants,categorical_dummy,-0.19258581,42,0.17599355,-0.03389386,0.03389386
87,LIVE_CITY_NOT_WORK_CITY,numeric_scaled,0.03357954,181,0.9996992,0.033569437,0.033569437
88,ORGANIZATION_TYPE_Transport: type 3,categorical_dummy,0.525697,6,0.062451106,0.032830358,0.032830358
89,APARTMENTS_MODE,numeric_scaled,0.032770332,182,0.999431,0.032751687,0.032751687
90,FLAG_OWN_REALTY_N,categorical_dummy,-0.068699226,108,0.46069625,-0.031649474,0.031649474
91,NAME_EDUCATION_TYPE_Lower secondary,categorical_dummy,0.28243604,26,0.11026309,0.03114227,0.03114227
92,ORGANIZATION_TYPE_Industry: type 9,categorical_dummy,-0.29240945,22,0.104699805,-0.030615212,0.030615212
93,ORGANIZATION_TYPE_Realtor,categorical_dummy,0.8377586,3,0.036245797,0.030365229,0.030365229
94,FLAG_DOCUMENT_15,numeric_scaled,-0.030362211,186,0.99948674,-0.030346628,0.030346628
95,OCCUPATION_TYPE_Drivers,categorical_dummy,0.122854866,68,0.23913397,0.029378772,0.029378772
96,FLAG_DOCUMENT_14,numeric_scaled,-0.029153641,190,0.9989881,-0.02912414,0.02912414
97,EMERGENCYSTATE_MODE_No,categorical_dummy,-0.058129102,126,0.49960786,-0.029041756,0.029041756
98,OCCUPATION_TYPE_Core staff,categorical_dummy,-0.09942843,79,0.28571388,-0.028408082,0.028408082
99,ORGANIZATION_TYPE_Trade: type 2,categorical_dummy,-0.3544365,15,0.0783991,-0.027787501,0.027787501
100,FLOORSMIN_AVG,numeric_scaled,-0.026629116,195,0.99894816,-0.026601106,0.026601106
101,FLAG_PHONE,numeric_scaled,-0.02607769,196,1.0002611,-0.026084498,0.026084498
102,LIVINGAREA_MODE,numeric_scaled,-0.026030658,197,1.0005343,-0.026044566,0.026044566
103,DAYS_EMPLOYED_ANOM,numeric_scaled,-0.025952894,198,1.0001931,-0.025957907,0.025957907
104,ORGANIZATION_TYPE_Security Ministries,categorical_dummy,-0.31792253,17,0.08026831,-0.025519105,0.025519105
105,FLOORSMAX_MODE,numeric_scaled,-0.02532197,199,0.9989663,-0.025295794,0.025295794
106,REGION_POPULATION_RELATIVE,numeric_scaled,0.025168361,200,0.99989027,0.025165599,0.025165599
107,NAME_EDUCATION_TYPE_Higher education,categorical_dummy,-0.058612198,124,0.42879346,-0.025132528,0.025132528
108,OCCUPATION_TYPE_Low-skill Laborers,categorical_dummy,0.30057368,21,0.08266165,0.024845917,0.024845917
109,WALLSMATERIAL_MODE_Panel,categorical_dummy,-0.057906087,128,0.4112074,-0.023811413,0.023811413
110,ORGANIZATION_TYPE_School,categorical_dummy,-0.1402326,62,0.16836695,-0.023610534,0.023610534
111,ORGANIZATION_TYPE_Police,categorical_dummy,-0.26919895,28,0.08650892,-0.023288112,0.023288112
112,AMT_REQ_CREDIT_BUREAU_YEAR,numeric_scaled,0.02210371,203,0.99996907,0.022103027,0.022103027
113,OCCUPATION_TYPE_Unknown,categorical_dummy,-0.046064954,149,0.46360588,-0.021355983,0.021355983
114,DAYS_BIRTH,numeric_scaled,0.021348085,205,0.99997765,0.021347608,0.021347608
115,FLAG_DOCUMENT_17,numeric_scaled,-0.0209371,206,0.9998802,-0.020934591,0.020934591
116,WEEKDAY_APPR_PROCESS_START_SATURDAY,categorical_dummy,-0.06563705,113,0.31271008,-0.020525368,0.020525368
117,WEEKDAY_APPR_PROCESS_START_MONDAY,categorical_dummy,-0.054939702,134,0.37129486,-0.02039883,0.02039883
118,NAME_HOUSING_TYPE_Office apartment,categorical_dummy,-0.2208544,36,0.09202778,-0.02032474,0.02032474
119,CNT_CHILDREN,numeric_scaled,0.020151222,208,0.9988201,0.020127445,0.020127445
120,ORGANIZATION_TYPE_Bank,categorical_dummy,-0.21868548,37,0.08993649,-0.019667804,0.019667804
121,ORGANIZATION_TYPE_Trade: type 6,categorical_dummy,-0.43683916,9,0.044645395,-0.019502858,0.019502858
122,ORGANIZATION_TYPE_Legal Services,categorical_dummy,0.60620964,4,0.031848434,0.019306827,0.019306827
123,FLAG_DOCUMENT_2,numeric_scaled,0.019068763,210,0.99998,0.01906838,0.01906838
124,YEARS_BEGINEXPLUATATION_MEDI,numeric_scaled,-0.018714894,212,0.99955714,-0.018706605,0.018706605
125,FLOORSMIN_MODE,numeric_scaled,0.01869435,213,0.99949664,0.01868494,0.01868494
126,FLAG_OWN_REALTY_Y,categorical_dummy,-0.03868839,167,0.46069625,-0.017823597,0.017823597
127,FLAG_MOBIL,numeric_scaled,0.017786099,215,0.99999946,0.01778609,0.01778609
128,ORGANIZATION_TYPE_Hotel,categorical_dummy,-0.31358546,19,0.05626799,-0.017644824,0.017644824
129,FONDKAPREMONT_MODE_reg oper spec account,categorical_dummy,-0.090222165,88,0.19439353,-0.017538605,0.017538605
130,EXT_SOURCE_STD,numeric_scaled,0.01753364,216,0.9999025,0.01753193,0.01753193
131,NAME_CONTRACT_TYPE_Revolving loans,categorical_dummy,-0.05966115,123,0.29374158,-0.017524961,0.017524961
132,TOTALAREA_MODE,numeric_scaled,0.017382327,217,0.99965,0.017376244,0.017376244
133,AMT_REQ_CREDIT_BUREAU_DAY,numeric_scaled,0.016822472,219,0.9988133,0.016802508,0.016802508
134,NAME_HOUSING_TYPE_Municipal apartment,categorical_dummy,0.08908683,89,0.18698049,0.0166575,0.0166575
135,ORGANIZATION_TYPE_Industry: type 3,categorical_dummy,0.15859266,52,0.10312882,0.016355474,0.016355474
136,AMT_REQ_CREDIT_BUREAU_MON,numeric_scaled,-0.015995314,221,1.000872,-0.016009262,0.016009262
137,FLAG_DOCUMENT_12,numeric_scaled,-0.015596317,222,0.99999803,-0.015596286,0.015596286
138,EXT_SOURCE_MAX,numeric_scaled,-0.015411025,224,0.99994344,-0.015410153,0.015410153
139,NAME_FAMILY_STATUS_Widow,categorical_dummy,-0.06824024,109,0.22270998,-0.015197783,0.015197783
